Area Code,Budget COGS,Budget Margin,Budget Profit,Budget Sales,COGS,Profit Ratio,BeforeToday,Variance from Budget Sales,% to Budget Sales,header-trend,header-Variance,Date,Inventory,Margin,Market Size,Market,Marketing,Number of Records,Product Line,Product Type,Product,Profit,Sales,State,Total Expenses,Type,header-YoY % Change
970,$100,$140,$110,$240,$95,43.16%,True,-2.50%,97.50%,YTD by Month,Variance from Plan,1/1/2012,821,$139,Major Market,Central,$26,1,Beans,Coffee,Decaf Irish Cream,$101,$234,Colorado,$38,Decaf,YoY % +/-
309,$100,$140,$100,$240,$95,37.18%,True,-2.50%,97.50%,YTD by Month,Variance from Plan,1/1/2012,608,$139,Major Market,Central,$30,1,Beans,Coffee,Decaf Irish Cream,$87,$234,Illinois,$52,Decaf,YoY % +/-
614,$60,$90,$20,$150,$63,0.00%,True,0.00%,100.00%,YTD by Month,Variance from Plan,1/1/2012,435,$87,Major Market,Central,$57,1,Beans,Coffee,Decaf Irish Cream,$0,$150,Ohio,$87,Decaf,YoY % +/-
720,$80,$130,$80,$210,$72,29.44%,True,-14.29%,85.71%,YTD by Month,Variance from Plan,1/1/2012,558,$108,Major Market,Central,$23,1,Beans,Espresso,Decaf Espresso,$53,$180,Colorado,$55,Decaf,YoY % +/-
630,$260,$270,$180,$530,$228,30.70%,True,-13.96%,86.04%,YTD by Month,Variance from Plan,1/1/2012,"1,459",$228,Major Market,Central,$63,1,Beans,Espresso,Decaf Espresso,$140,$456,Illinois,$88,Decaf,YoY % +/-
614,$60,$90,$40,$150,$58,12.31%,True,-13.33%,86.67%,YTD by Month,Variance from Plan,1/1/2012,338,$72,Major Market,Central,$22,1,Beans,Espresso,Decaf Espresso,$16,$130,Ohio,$56,Decaf,YoY % +/-
754,$80,$110,$70,$190,$84,33.50%,True,5.26%,105.26%,YTD by Month,Variance from Plan,1/1/2012,500,$116,Major Market,East,$26,1,Beans,Coffee,Decaf Irish Cream,$67,$200,Florida,$49,Decaf,YoY % +/-
754,$70,$100,$60,$170,$77,27.78%,True,5.88%,105.88%,YTD by Month,Variance from Plan,1/1/2012,432,$103,Major Market,East,$25,1,Beans,Espresso,Decaf Espresso,$50,$180,Florida,$53,Decaf,YoY % +/-
325,$100,$130,$100,$230,$83,35.79%,True,-17.39%,82.61%,YTD by Month,Variance from Plan,1/1/2012,623,$107,Major Market,South,$27,1,Beans,Coffee,Decaf Irish Cream,$68,$190,Texas,$39,Decaf,YoY % +/-
956,$40,$70,$60,$110,$54,40.30%,True,21.82%,121.82%,YTD by Month,Variance from Plan,1/1/2012,456,$80,Major Market,South,$15,1,Beans,Espresso,Decaf Espresso,$54,$134,Texas,$26,Decaf,YoY % +/-
650,$180,($40),($120),$140,$144,-99.15%,True,-15.71%,84.29%,YTD by Month,Variance from Plan,1/1/2012,862,($26),Major Market,West,$47,1,Beans,Coffee,Decaf Irish Cream,($117),$118,California,$91,Decaf,YoY % +/-
213,$220,$300,$200,$520,$234,37.18%,True,5.00%,105.00%,YTD by Month,Variance from Plan,1/1/2012,"1,310",$312,Major Market,West,$77,1,Beans,Espresso,Decaf Espresso,$203,$546,California,$109,Decaf,YoY % +/-
719,$90,$130,$100,$220,$89,42.92%,True,-0.45%,99.55%,YTD by Month,Variance from Plan,1/1/2012,777,$130,Major Market,Central,$24,1,Beans,Coffee,Amaretto,$94,$219,Colorado,$36,Regular,YoY % +/-
740,$60,$80,$50,$140,$60,24.29%,True,0.00%,100.00%,YTD by Month,Variance from Plan,1/1/2012,336,$80,Major Market,Central,$19,1,Beans,Coffee,Amaretto,$34,$140,Ohio,$46,Regular,YoY % +/-
970,$80,$110,$80,$190,$83,35.79%,True,0.00%,100.00%,YTD by Month,Variance from Plan,1/1/2012,623,$107,Major Market,Central,$27,1,Beans,Coffee,Colombian,$68,$190,Colorado,$39,Regular,YoY % +/-
217,$150,$210,$130,$360,$144,32.17%,True,-4.17%,95.83%,YTD by Month,Variance from Plan,1/1/2012,862,$201,Major Market,Central,$47,1,Beans,Coffee,Colombian,$111,$345,Illinois,$90,Regular,YoY % +/-
614,$60,$80,$50,$140,$57,30.00%,True,0.00%,100.00%,YTD by Month,Variance from Plan,1/1/2012,364,$83,Major Market,Central,$18,1,Beans,Coffee,Colombian,$42,$140,Ohio,$41,Regular,YoY % +/-
303,$60,$90,$70,$150,$54,40.30%,True,-10.67%,89.33%,YTD by Month,Variance from Plan,1/1/2012,456,$80,Major Market,Central,$15,1,Beans,Espresso,Caffe Mocha,$54,$134,Colorado,$26,Regular,YoY % +/-
309,$270,$370,$260,$640,$234,37.18%,True,-14.69%,85.31%,YTD by Month,Variance from Plan,1/1/2012,"1,310",$312,Major Market,Central,$77,1,Beans,Espresso,Caffe Mocha,$203,$546,Illinois,$109,Regular,YoY % +/-
614,$190,$210,$140,$400,$170,29.03%,True,-14.75%,85.25%,YTD by Month,Variance from Plan,1/1/2012,"1,091",$171,Major Market,Central,$47,1,Beans,Espresso,Caffe Mocha,$99,$341,Ohio,$72,Regular,YoY % +/-
954,$80,$110,$70,$190,$84,32.38%,True,10.53%,110.53%,YTD by Month,Variance from Plan,1/1/2012,651,$126,Major Market,East,$27,1,Beans,Coffee,Colombian,$68,$210,Florida,$58,Regular,YoY % +/-
413,$60,$400,$360,$460,$72,74.29%,True,7.39%,107.39%,YTD by Month,Variance from Plan,1/1/2012,558,$422,Major Market,East,$23,1,Beans,Coffee,Colombian,$367,$494,Massachusetts,$55,Regular,YoY % +/-
716,$260,$380,$260,$640,$271,38.64%,True,5.94%,105.94%,YTD by Month,Variance from Plan,1/1/2012,"2,101",$407,Major Market,East,$94,1,Beans,Coffee,Colombian,$262,$678,New York,$145,Regular,YoY % +/-
239,$70,$110,$30,$180,$79,4.74%,True,5.56%,105.56%,YTD by Month,Variance from Plan,1/1/2012,551,$111,Major Market,East,$72,1,Beans,Espresso,Caffe Mocha,$9,$190,Florida,$102,Regular,YoY % +/-
781,$60,$60,($10),$120,$63,-18.25%,True,5.00%,105.00%,YTD by Month,Variance from Plan,1/1/2012,435,$63,Major Market,East,$57,1,Beans,Espresso,Caffe Mocha,($23),$126,Massachusetts,$86,Regular,YoY % +/-
315,$100,($50),($170),$50,$105,-281.97%,True,22.00%,122.00%,YTD by Month,Variance from Plan,1/1/2012,725,($44),Major Market,East,$95,1,Beans,Espresso,Caffe Mocha,($172),$61,New York,$128,Regular,YoY % +/-
978,$160,$170,$110,$330,$170,29.33%,True,3.33%,103.33%,YTD by Month,Variance from Plan,1/1/2012,"1,091",$171,Major Market,East,$47,1,Beans,Espresso,Regular Espresso,$100,$341,Massachusetts,$71,Regular,YoY % +/-
